timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1574356485174,4,PDP2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-292,text,false,,2799,0,432,432,https://prod-co.corona.co/productos/sanitarios/orinales/orinal-arrecife-entrada-superior/p/O61061001,0,0,4
1574356485160,18,PDP1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-264,text,false,,2799,0,432,432,https://prod-co.corona.co/productos/sanitarios/sanitarios-individuales/sanitario-aquapro-blanco/p/CO-001302,0,0,18
1574356485173,5,PLP2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-276,text,false,,2799,0,432,432,https://prod-co.corona.co/productos/revestimientos/decorados/c/decorados?q=%3Arelevance%3Aprice%3A%252420000%2B-%2B%252449999&text=#,0,0,5
1574356485174,4,PDP2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-314,text,false,,2799,0,432,432,https://prod-co.corona.co/productos/sanitarios/orinales/orinal-arrecife-entrada-superior/p/O61061001,0,0,4
1574356485175,4,PLP2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-284,text,false,,2799,0,432,432,https://prod-co.corona.co/productos/revestimientos/decorados/c/decorados?q=%3Arelevance%3Aprice%3A%252420000%2B-%2B%252449999&text=#,0,0,4
1574356485162,17,PDP1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-294,text,false,,2799,0,432,432,https://prod-co.corona.co/productos/sanitarios/sanitarios-individuales/sanitario-aquapro-blanco/p/CO-001302,0,0,17
1574356485163,16,PDP1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-286,text,false,,2799,0,432,432,https://prod-co.corona.co/productos/sanitarios/sanitarios-individuales/sanitario-aquapro-blanco/p/CO-001302,0,0,16
1574356485175,4,PDP2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-302,text,false,,2799,0,432,432,https://prod-co.corona.co/productos/sanitarios/orinales/orinal-arrecife-entrada-superior/p/O61061001,0,0,4
1574356485175,4,PLP2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-296,text,false,,2799,0,432,432,https://prod-co.corona.co/productos/revestimientos/decorados/c/decorados?q=%3Arelevance%3Aprice%3A%252420000%2B-%2B%252449999&text=#,0,0,4
1574356485176,3,PDP2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-272,text,false,,2799,0,432,432,https://prod-co.corona.co/productos/sanitarios/orinales/orinal-arrecife-entrada-superior/p/O61061001,0,0,3
1574356485175,5,PLP2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-304,text,false,,2799,0,432,432,https://prod-co.corona.co/productos/revestimientos/decorados/c/decorados?q=%3Arelevance%3Aprice%3A%252420000%2B-%2B%252449999&text=#,0,0,5
1574356485165,15,PDP1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-262,text,false,,2799,0,432,432,https://prod-co.corona.co/productos/sanitarios/sanitarios-individuales/sanitario-aquapro-blanco/p/CO-001302,0,0,15
1574356485176,4,PDP2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-280,text,false,,2799,0,432,432,https://prod-co.corona.co/productos/sanitarios/orinales/orinal-arrecife-entrada-superior/p/O61061001,0,0,4
1574356485176,4,PLP2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-256,text,false,,2799,0,432,432,https://prod-co.corona.co/productos/revestimientos/decorados/c/decorados?q=%3Arelevance%3Aprice%3A%252420000%2B-%2B%252449999&text=#,0,0,4
1574356485178,2,PDP2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-312,text,false,,2799,0,432,432,https://prod-co.corona.co/productos/sanitarios/orinales/orinal-arrecife-entrada-superior/p/O61061001,0,0,2
1574356485177,3,PDP2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-278,text,false,,2799,0,432,432,https://prod-co.corona.co/productos/sanitarios/orinales/orinal-arrecife-entrada-superior/p/O61061001,0,0,3
1574356485178,2,PLP2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-310,text,false,,2799,0,432,432,https://prod-co.corona.co/productos/revestimientos/decorados/c/decorados?q=%3Arelevance%3Aprice%3A%252420000%2B-%2B%252449999&text=#,0,0,2
1574356485177,4,PDP2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-258,text,false,,2799,0,432,432,https://prod-co.corona.co/productos/sanitarios/orinales/orinal-arrecife-entrada-superior/p/O61061001,0,0,4
1574356485177,4,PLP2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-87,text,false,,2799,0,432,432,https://prod-co.corona.co/productos/revestimientos/decorados/c/decorados?q=%3Arelevance%3Aprice%3A%252420000%2B-%2B%252449999&text=#,0,0,4
